Accession,Protein Name,Length,Organism Scientific Neme
A0A851Z5P7,RRM domain-containing protein,281,Halcyon senegalensis
A0A7K4WLN3,RAD52 motif-containing protein 1,271,Tachuris rubrigastra
A0A7W1CDV3,SWIM-type domain-containing protein,414,Acidobacteria bacterium
A0A7K6TID7,RRM domain-containing protein,281,Caloenas nicobarica
A0A7K9XFB7,RRM domain-containing protein,282,Psophia crepitans
A0A087RIM5,RRM domain-containing protein,255,Aptenodytes forsteri
A0A7K4YMZ1,RRM domain-containing protein,282,Bucorvus abyssinicus
A0A7L0MAH5,RRM domain-containing protein,262,Amazona guildingii
A0A7L0SAI1,RRM domain-containing protein,280,Glaucidium brasilianum
A0A851PDL5,RRM domain-containing protein,281,Anhinga anhinga
A0A7K5A8K9,RRM domain-containing protein,250,Centropus unirufus
A0A7L0AM26,RRM domain-containing protein,279,Ciconia maguari
A0A7L0PTB0,RAD52 motif-containing protein 1,251,Mesembrinibis cayennensis
A0A850W8C2,RRM domain-containing protein,252,Fregata magnificens
A0A7K8VKL0,RAD52 motif-containing protein 1,244,Ciccaba nigrolineata
A0A850TNZ0,RRM domain-containing protein,280,Grus americana
A0A091IHA0,RRM domain-containing protein,245,Calypte anna
A0A7S4SBC1,Rad52/22 double-strand break repair protein,305,Ditylum brightwellii
A0A7K6WTY7,RAD52 motif-containing protein 1,281,Steatornis caripensis
A0A7K9F9M3,RRM domain-containing protein,250,Stercorarius parasiticus
A0A7L0JW43,RAD52 motif-containing protein 1,245,Chauna torquata
A0A093SSG9,RAD52 motif-containing protein 1,249,Manacus vitellinus
A0A2Y9MK41,RAD52 motif-containing protein 1,147,Delphinapterus leucas
A0A7K9M540,RRM domain-containing protein,254,Oceanodroma tethys
A0A091V1N2,RRM domain-containing protein,253,Nipponia nippon
A0A0A0ACQ7,RRM domain-containing protein,253,Charadrius vociferus
A0A7L4HPK8,RAD52 protein,320,Scopus umbretta
A0A7L0WIQ7,RRM domain-containing protein,252,Alectura lathami
K0TLM2,DNA repair and recombination protein RAD59,247,Thalassiosira oceanica
A0A851ZZ22,RAD52 protein,319,Calcarius ornatus
A0A851LR10,RRM domain-containing protein,253,Corythaeola cristata
A0A7K6NX31,RRM domain-containing protein,253,Pedionomus torquatus
A0A7L1Z9L0,RRM domain-containing protein,247,Scytalopus superciliaris
A0A7L4BY25,RAD52 protein,320,Nyctiprogne leucopyga
A0A7S4SAA2,Uncharacterized protein,141,Ditylum brightwellii
A0A7K6UBR8,RRM domain-containing protein,253,Aegotheles bennettii
A0A7K9BC12,RRM domain-containing protein,253,Dromaius novaehollandiae
V9L771,RAD52 motif-containing protein 1,168,Callorhinchus milii
A0A6J4KLB9,Rad52/22 double-strand break repair protein,271,uncultured Gemmatimonadaceae bacterium
A0A6A5Q1N2,DNA repair protein RAD59,238,Saccharomyces cerevisiae
A0A7K8NKG2,RRM domain-containing protein,253,Casuarius casuarius
A0A7L1P4T0,RRM domain-containing protein,280,Rhinopomastus cyanomelas
A0A7L4HG19,RRM domain-containing protein,253,Scopus umbretta
A0A7L4K8D6,RAD52 motif-containing protein 1,252,Ceuthmochares aereus
A0A093QW26,RAD52 motif-containing protein 1,254,Pygoscelis adeliae
A0A5X0WD01,Recombinase,136,Salmonella infantis
A0A7K4SXL8,RRM domain-containing protein,254,Burhinus bistriatus
A0A1G3UHY2,DNA repair protein Rad52,194,Sulfurimonas sp. RIFOXYD2_FULL_37_8
A0A607YTL7,Recombinase,136,Salmonella infantis
A0A612C4R8,Recombinase,135,Salmonella montevideo
A0A091SE88,RAD52 motif-containing protein 1,210,Nestor notabilis
A0A087VB68,RAD52 motif-containing protein 1,258,Balearica regulorum gibbericeps
A0A7K7TJZ3,RRM domain-containing protein,252,Ibidorhyncha struthersii
A0A7K8PS01,RRM domain-containing protein,258,Cochlearius cochlearius
A0A851DV33,RAD52 protein,226,Todus mexicanus
A0A7V9ULZ9,Rad52/22 double-strand break repair protein,308,Acidobacteria bacterium
A0A2V8TDH2,CheW-like domain-containing protein,171,Acidobacteria bacterium
A0A7K8WI32,RAD52 motif-containing protein 1,186,Sclerurus mexicanus
A0A3M1S497,SWIM-type domain-containing protein,281,Acidobacteria bacterium
A0A7K9TYY5,RRM domain-containing protein,259,Chloroceryle aenea
A0A3R7TTC1,DUF968 domain-containing protein,328,Muricauda sp. TMED12
A0A760H6M7,Recombinase,136,Salmonella enterica
A0A3D0SBB4,Recombinase RecT,239,Nocardioides sp.
A0A850FT56,Curli production assembly/transport component CsgG,152,Aliarcobacter butzleri
A0A3Q7NKD8,RRM domain-containing protein,228,Callorhinus ursinus
A0A7S4IHL7,DNA repair and recombination protein RAD52,261,Vannella robusta
V8NCV4,"RAD52 homolog, DNA repair protein",295,Ophiophagus hannah
A0A612C824,Recombinase,135,Salmonella montevideo
A0A7W1LZJ2,SWIM-type domain-containing protein,381,Acidobacteria bacterium
A0A382DH29,Recombinase,241,marine metagenome
A0A535HLV6,Rad52/22 double-strand break repair protein,239,Chloroflexi bacterium
A0A7L3DK49,RDM1 protein,193,Pluvianellus socialis
A0A852GWF2,RAD52 motif-containing protein 1,194,Larus smithsonianus
A0A7S0JX89,Rad52/22 double-strand break repair protein,294,Cafeteria roenbergensis
A0A7L1K782,RRM domain-containing protein,271,Rynchops niger
A0A3M7NAE9,BOP1NT domain-containing protein,1084,Chaetothyriales sp. CBS 135597
A0A5N5THP7,CMP/dCMP-type deaminase domain-containing protein,170,Armadillidium nasatum
A0A7S0T624,DRBM domain-containing protein,174,Erythrolobus madagascarensis
A0A4Y9ZVZ8,RAD52,181,Hericium alpestre
A0A4V1J2S9,DNA repair and recombination protein RAD52,332,Metschnikowia bicuspidata
A0A0B4GUV3,Rad52/22 double-strand break repair protein,277,Metarhizium majus (strain ARSEF 297)
A0A7V2JJC5,Recombination protein Rad52,299,Bacteroidetes bacterium
A0A7L4D2B9,RRM domain-containing protein,261,Eurystomus gularis
A0A3M7MP30,BOP1NT domain-containing protein,1099,Chaetothyriales sp. CBS 132003
A0A3M7NRH1,BOP1NT domain-containing protein,1079,Chaetothyriales sp. CBS 134916
A0A6G1B3S3,RAD52 protein,366,Crocuta crocuta
G9KJY8,"RAD52 homolog, DNA repair protein",389,Mustela putorius furo
A0A3M0W030,BOP1NT domain-containing protein,1156,Chaetothyriales sp. CBS 134920
A0A341C3K2,RAD52 motif-containing protein 1,192,Neophocaena asiaeorientalis asiaeorientalis
A0A836FZI2,DNA repair protein RAD52 homolog,264,Acromyrmex charruanus
A0A7K9IML0,RAD52 protein,391,Myiagra hebetior
A0A0G4ME25,Ribonuclease H-like domain-containing protein,118,Verticillium longisporum
A0A4U1FFT7,RAD52 protein,383,Monodon monoceros
A0A7L2CGI1,RAD52 protein,388,Alaudala cheleensis
A0A851R2E2,RAD52 protein,389,Tychaedon coryphoeus
A0A559MC58,RAD52 DNA repair protein RADC,340,Lachnellula willkommii
A0A1E4SHD7,DNA repair and recombination protein RAD52,378,Suhomyces tanzawaensis NRRL Y-17324
A0A432ZYD1,RNA-dependent RNA polymerase,176,Jimgerdemannia flammicorona
A0A7K7M9K3,RAD52 protein,394,Brachypodius atriceps
A0A7K8IDW7,RAD52 protein,392,Chaetorhynchus papuensis
A0A6I9KRT6,RAD52 motif-containing protein 1,89,Chrysochloris asiatica
A0A7S4IHM2,DNA repair and recombination protein RAD52,295,Vannella robusta
V8NCH1,RRM domain-containing protein,204,Ophiophagus hannah
A0A7K6R612,RAD52 protein,393,Climacteris rufus
A0A7L2AAT4,RAD52 protein,387,Heliornis fulica
A0A850YID8,RAD52 protein,389,Aegithalos caudatus
A0A4S2JQ30,INTEIN_C_TER domain-containing protein,207,Temnothorax longispinosus
A0A7L3R2U5,RAD52 protein,394,Cettia cetti
A0A836EJ14,DNA repair protein RAD52 homolog,267,Pseudoatta argentina
A0A851ERF1,RAD52 protein,390,Dryoscopus gambensis
A0A7K6APQ4,RAD52 protein,390,Upupa epops
A0A7K9FV21,RAD52 protein,393,Stercorarius parasiticus
A0A4V3S9Q7,Transferrin-like domain-containing protein,237,Temnothorax longispinosus
A0A7L1DR20,RAD52 protein,396,Oenanthe oenanthe
Q3MI84,"RAD52 homolog, DNA repair protein",399,Homo sapiens
A0A7K6CCS9,RAD52 protein,392,Ptilonorhynchus violaceus
A0A7T8KHQ6,UVR domain-containing protein,76,Caligus rogercresseyi
A0A7S3AUI1,PCI domain-containing protein,173,Haptolina ericina
A0A7K7VBI6,RAD52 protein,398,Eudromia elegans
A0A7K5LQT8,RAD52 protein,387,Vireo altiloquus
A0A7L2IEZ5,RAD52 protein,386,Semnornis frantzii
A0A7L2LNQ3,RAD52 protein,395,Hippolais icterina
A0A6L2Q3W2,SCP domain-containing protein,130,Coptotermes formosanus
A0A7K6Q0F4,RAD52 protein,392,Ifrita kowaldi
A0A7L0CRG8,RAD52 protein,395,Rostratula benghalensis
A0A7K8MYA3,RAD52 protein,397,Casuarius casuarius
A0A7K9AKG2,RAD52 protein,397,Dromaius novaehollandiae
A0A7L4FIV0,RAD52 protein,401,Alopecoenas beccarii
A0A7K8LFG6,RAD52 motif-containing protein 1,283,Ardeotis kori
A0A7K9EEQ8,RAD52 protein,394,Baryphthengus martii
A0A146K763,DNA repair and recombination protein RAD52,232,Trepomonas sp. PC1
A0A7L3YQL6,RAD52 protein,394,Fregetta grallaria
A0A850ZZR9,RAD52 protein,394,Sula dactylatra
A0A7K9NVU6,RAD52 protein,395,Edolisoma coerulescens
A0A7L0P0Z4,RAD52 protein,391,Formicarius rufipectus
A0A836FFR7,DNA repair protein RAD52 homolog,264,Acromyrmex heyeri
A0A3M1FNR9,SWIM-type domain-containing protein,298,Caldilineae bacterium
A0A7K4XBJ9,RAD52 protein,411,Regulus satrapa
A0A7K9L5K0,RAD52 protein,411,Rhabdornis inornatus
A0A7K8A7B0,RAD52 protein,416,Melanocharis versteri
A0A7K9BN39,RAD52 protein,392,Psilopogon haemacephalus
A0A7L2D307,RAD52 protein,413,Catharus fuscescens
A0A7L2FC03,RAD52 protein,414,Quiscalus mexicanus
A0A7D8UKT7,RAD52 DNA repair protein RADC,360,Lachnellula cervina
A0A7K7XQG3,RAD52 protein,415,Mohoua ochrocephala
A0A7K8RKN9,RAD52 protein,414,Rhodinocichla rosea
A0A836JBD4,DNA repair protein RAD52 homolog,271,Acromyrmex insinuator
A0A6M2DIJ9,DNA polymerase delta subunit 3,356,Xenopsylla cheopis
A0A7K5C153,RAD52 protein,418,Motacilla alba
A0A7L0WSI3,RAD52 protein,394,Alectura lathami
A0A7K4PRT5,RAD52 protein,414,Melospiza melodia
A0A7K4TYS4,RAD52 protein,418,Sinosuthora webbiana
A0A7K5V0S2,RAD52 protein,418,Platysteira castanea
A0A7K8E9C3,RAD52 protein,413,Leucopsar rothschildi
A0A7L1PQG3,RAD52 protein,415,Oriolus oriolus
A0A7L1QTI1,RAD52 protein,418,Cisticola juncidis
A0A7L3VAP9,RAD52 protein,414,Molothrus ater
A0A850UXX6,RAD52 protein,415,Chloropsis hardwickii
A0A7K5J3T2,RAD52 protein,413,Toxostoma redivivum
A0A852HRH3,RAD52 protein,418,Nicator chloris
A0A7K5D8V1,RAD52 protein,414,Pachyramphus minor
A0A7K7R1N7,RAD52 protein,416,Poecile atricapillus
A0A7K7YKI9,RAD52 protein,417,Thryothorus ludovicianus
A0A7K8GWJ6,RAD52 protein,416,Orthonyx spaldingii
A0A7K8WVY8,RAD52 protein,414,Sclerurus mexicanus
A0A7K8YER4,RAD52 protein,420,Sakesphorus luctuosus
A0A7L1UFW0,RAD52 protein,417,Phainopepla nitens
A0A7L2YY07,RAD52 protein,392,Jacana jacana
R0M230,RAD52 protein,400,Anas platyrhynchos
A0A7K5SGR9,RAD52 protein,419,Urocynchramus pylzowi
A0A7K6XS73,RAD52 protein,418,Promerops cafer
A0A7K7JJA8,RAD52 protein,414,Agelaius phoeniceus
A0A7K8DDK1,RAD52 protein,417,Eulacestoma nigropectus
A0A7K9PE47,RAD52 protein,420,Pachycephala philippinensis
A0A7L1CRJ8,RAD52 protein,416,Illadopsis cleaveri
A0A7L4L6Z9,RAD52 protein,420,Callaeas wilsoni
A0A7K4V1U6,RAD52 protein,416,Emberiza fucata
A0A7K5E8Y7,RAD52 protein,416,Polioptila caerulea
A0A7K5RYZ6,RAD52 protein,420,Lanius ludovicianus
A0A7K7G6A9,RAD52 protein,416,Erithacus rubecula
A0A7K8MAA3,RAD52 protein,420,Ptilorrhoa leucosticta
A0A7L0IFH8,RAD52 protein,418,Piprites chloris
A0A7L1MBV7,RAD52 protein,417,Bombycilla garrulus
A0A7L1RER8,RAD52 protein,420,Locustella ochotensis
A0A7L2NEM0,RAD52 protein,421,Rhadina sibilatrix
A0A7L3KQ08,RAD52 protein,418,Drymodes brunneopygia
A0A7L4JDT3,RAD52 protein,419,Pomatorhinus ruficollis
A0A7K7DCH6,RAD52 protein,419,Pheucticus melanocephalus
A0A7K8AYC8,RAD52 protein,420,Cnemophilus loriae
A0A7K8BNP2,RAD52 protein,417,Rhagologus leucostigma
A0A7K9QJQ7,RAD52 protein,420,Irena cyanogastra
A0A7K9VVR4,RAD52 protein,414,Rhipidura dahli
A0A7L0YXP7,RAD52 protein,419,Ploceus nigricollis
A0A7L1A7C8,RAD52 protein,418,Oxyruncus cristatus
A0A7L1FS07,RAD52 protein,419,Sylvia borin
A0A7L1ZL03,RAD52 protein,416,Leiothrix lutea
A0A7L2JEN9,RAD52 protein,418,Cinclus mexicanus
A0A7L3E5H6,RAD52 protein,420,Chaetops frenatus
A0A852J651,RAD52 protein,416,Tricholaema leucomelas
A0A7K6RHX3,RAD52 protein,420,Rhynochetos jubatus
A0A7K7CGX9,RAD52 protein,419,Aphelocoma coerulescens
A0A7K8ZV58,RAD52 protein,417,Grallaria varia
A0A7K9K1R9,RAD52 protein,419,Dicaeum eximium
A0A7L1AVK7,RAD52 protein,418,Gymnorhina tibicen
A0A7L2XBH5,RAD52 protein,414,Erpornis zantholeuca
A0A7R9V0X9,DRBM domain-containing protein,153,Diacronema lutheri
A0A851B0C9,RAD52 protein,421,Picathartes gymnocephalus
A0A851FLW5,RAD52 protein,417,Pitta sordida
A0A851J5X4,RAD52 protein,423,Donacobius atricapilla
A0A851RHT8,RAD52 protein,420,Certhia familiaris
A0A852CIX4,RAD52 protein,416,Ramphastos sulfuratus
A0A852FG18,RAD52 protein,418,Peucedramus taeniatus
A0A852MS25,RAD52 protein,420,Pteruthius melanotis
A0A7K5JUA6,RAD52 protein,420,Mionectes macconnelli
A0A7K5MRV0,RAD52 protein,419,Cardinalis cardinalis
A0A7K5TNV3,RAD52 protein,418,Cephalopterus ornatus
A0A7K6J3W7,RAD52 protein,418,Machaerirhynchus nigripectus
A0A7K6LBN8,RAD52 protein,418,Falcunculus frontatus
A0A7K8HWW5,RAD52 protein,420,Aleadryas rufinucha
A0A7K8QL91,RAD52 protein,415,Smithornis capensis
A0A7K8XYT5,RAD52 protein,416,Eubucco bourcierii
A0A7L0QEW4,RAD52 protein,420,Setophaga kirtlandii
A0A7L0V9Y0,RAD52 protein,419,Leptocoma aspasia
A0A7L1V0A4,RAD52 protein,417,Sitta europaea
A0A7L1VV13,RAD52 protein,420,Certhia brachydactyla
A0A851TT41,RAD52 protein,418,Elachura formosa
A0A7K7RNV6,RAD52 protein,419,Nesospiza acunhae
A0A7K8JGD1,RAD52 protein,416,Lophotis ruficrista
A0A7L0KS52,RAD52 protein,420,Sylvietta virens
A0A7L0LZ83,RAD52 protein,412,Amazona guildingii
A0A7L3D9U8,RAD52 protein,420,Pluvianellus socialis
A0A7L4EXP0,RAD52 protein,420,Hirundo rustica
A0A850TBY8,RAD52 protein,419,Grus americana
A0A851K725,RAD52 protein,419,Vidua chalybeata
A0A852BG77,RAD52 protein,419,Chloropsis cyanopogon
A0A852P760,RAD52 protein,419,Atrichornis clamosus
A0A7K4KR57,RAD52 protein,417,Crypturellus soui
A0A7K6A2N9,RAD52 protein,419,Onychorhynchus coronatus
A0A7K7JC15,RAD52 protein,419,Loxia curvirostra
A0A7K8TRJ4,RAD52 protein,420,Oceanites oceanicus
A0A7K9GAZ7,RAD52 protein,419,Loxia leucoptera
A0A7L0AV67,RAD52 protein,418,Ciconia maguari
A0A7L1JLV9,RAD52 protein,419,Rynchops niger
A0A7L3A272,RAD52 protein,420,Prunella fulvescens
A0A852ELA8,RAD52 protein,419,Vidua macroura
A0A7K4JA35,RAD52 protein,420,Geococcyx californianus
A0A7K4QR93,RAD52 protein,420,Neopipo cinnamomea
A0A7K5QQG1,RAD52 protein,422,Prunella himalayana
A0A7L1Y6L3,RAD52 protein,418,Scytalopus superciliaris
A0A7L2KUI8,RAD52 protein,418,Zosterops hypoxanthus
A0A7L3LVN6,RAD52 protein,412,Turnix velox
A0A851WGW8,RAD52 protein,420,Corvus moneduloides
A0A7K5FP90,RAD52 protein,416,Probosciger aterrimus
A0A7K5WVY2,RAD52 protein,414,Hylia prasina
A0A7K6ESJ8,RAD52 protein,420,Grantiella picta
A0A7K6JPE7,RAD52 protein,421,Oreocharis arfaki
A0A7K6TYA7,RAD52 protein,420,Aegotheles bennettii
A0A7L3P286,RAD52 protein,419,Xiphorhynchus elegans
A0A851A2W2,RAD52 protein,418,Tichodroma muraria
A0A087VMZ7,RAD52 protein,418,Balearica regulorum gibbericeps
A0A7K8VU34,RAD52 protein,419,Ciccaba nigrolineata
A0A7K9CQN9,RAD52 protein,415,Hemiprocne comata
A0A7K9RCF3,RAD52 protein,418,Sterrhoptilus dennistouni
A0A7L0A4M0,RAD52 protein,420,Dicrurus megarhynchus
A0A7L1GF78,RAD52 protein,416,Indicator maculatus
A0A7L2HY18,RAD52 protein,420,Sagittarius serpentarius
A0A7L3BST2,RAD52 protein,416,Pelecanoides urinatrix
A0A7L3RBP2,RAD52 protein,420,Cepphus grylle
A0A7L3SR85,RAD52 protein,420,Rissa tridactyla
A0A851BY47,RAD52 protein,413,Calyptomena viridis
A0A093CQ40,RAD52 protein,419,Pterocles gutturalis
A0A7K5AMC5,RAD52 protein,420,Furnarius figulus
A0A7K5NBK5,RAD52 protein,420,Chroicocephalus maculipennis
A0A7K6DKE9,RAD52 protein,420,Origma solitaria
A0A7K7FZ39,RAD52 protein,420,Chionis minor
A0A7K7TD53,RAD52 protein,420,Sapayoa aenigma
A0A7K8P5V0,RAD52 protein,418,Cochlearius cochlearius
A0A7K8T6X8,RAD52 protein,420,Nyctibius bracteatus
A0A7L0EC35,RAD52 protein,420,Trogon melanurus
A0A7L0X1L4,RAD52 protein,420,Tyrannus savana
A0A7L1HH57,RAD52 protein,420,Nycticryphes semicollaris
A0A7L2NMF9,RAD52 protein,421,Pycnonotus jocosus
A0A7L2RS24,RAD52 protein,420,Neodrepanis coruscans
A0A7L4AZ49,RAD52 protein,420,Phaetusa simplex
A0A2P7EB80,DNA repair protein Rad52,182,Synechococcus lacustris
A0A7J7EU97,RAD52 protein,417,Diceros bicornis minor
A0A7K5G4Z3,RAD52 protein,420,Chunga burmeisteri
A0A7K6GSS4,RAD52 protein,420,Malurus elegans
A0A7K6SKR4,RAD52 protein,420,Caloenas nicobarica
A0A7K7TMP9,RAD52 protein,420,Ibidorhyncha struthersii
A0A7K8FMR7,RAD52 protein,421,Struthidea cinerea
A0A7K8KUL0,RAD52 protein,420,Ardeotis kori
A0A7K9XR02,RAD52 protein,419,Psophia crepitans
A0A7L0T2H9,RAD52 protein,417,Podilymbus podiceps
A0A7L1KU40,RAD52 protein,420,Himantopus himantopus
A0A7L2T560,RAD52 protein,418,Pomatostomus ruficeps
A0A7L3XZY4,RAD52 protein,419,Calonectris borealis
A0A7L4JYI3,RAD52 protein,420,Ceuthmochares aereus
A0A851N1M5,RAD52 protein,419,Campylorhamphus procurvoides
A0A851Y761,RAD52 protein,416,Eolophus roseicapilla
D2GYD8,RAD52 protein,400,Ailuropoda melanoleuca
A0A7K5XUP8,RAD52 protein,420,Dromas ardeola
A0A7K9I2S8,RAD52 protein,418,Bucco capensis
A0A7L2E433,RAD52 protein,422,Anthoscopus minutus
A0A7K7WCL0,RAD52 protein,419,Nothocercus julius
A0A7L0HQM5,RAD52 protein,420,Arenaria interpres
A0A7L0PD17,RAD52 protein,420,Mesembrinibis cayennensis
A0A7L0RF00,RAD52 protein,421,Glaucidium brasilianum
A0A7L1JCC7,RAD52 protein,422,Smutsornis africanus
A0A7L1T3Y6,RAD52 protein,420,Aramus guarauna
A0A7K6NA19,RAD52 protein,420,Pedionomus torquatus
A0A7K7LAB5,RAD52 protein,421,Asarcornis scutulata
A0A7K7MZK2,RAD52 protein,417,Haliaeetus albicilla
A0A7K9TLS7,RAD52 protein,419,Galbula dea
A0A7L0GA88,RAD52 protein,420,Herpetotheres cachinnans
A0A7L3EYV8,RAD52 protein,420,Zapornia atra
A0A7L3IMD4,RAD52 protein,419,Pardalotus punctatus
A0A7L3ZHI8,RAD52 protein,417,Circaetus pectoralis
A0A7L4NF25,RAD52 protein,416,Ceyx cyanopectus
A0A851NS12,RAD52 protein,421,Penelope pileata
A0A851SU55,RAD52 protein,419,Nothocercus nigrocapillus
A0A852KCX4,RAD52 protein,419,Urocolius indicus
A0A7K6WXZ3,RAD52 protein,420,Steatornis caripensis
A0A7K6YPQ2,RAD52 protein,420,Alca torda
A0A7K9UF32,RAD52 protein,420,Chloroceryle aenea
A0A7L0BIE7,RAD52 protein,417,Spizaetus tyrannus
A0A850X283,RAD52 protein,420,Piaya cayana
A0A851PNY6,RAD52 protein,420,Anhinga anhinga
A0A7K4SSN1,RAD52 protein,420,Burhinus bistriatus
A0A7K6ZK32,RAD52 protein,404,Nothoprocta pentlandii
A0A7L0KLT1,RAD52 protein,422,Chauna torquata
A0A7L2GIM5,RAD52 protein,420,Nyctibius grandis
A0A7K5YWG7,RAD52 protein,420,Pterocles burchelli
A0A7K6I0B3,RAD52 protein,420,Dasyornis broadbenti
A0A7K7B0D2,RAD52 protein,404,Nothoprocta ornata
A0A7K9MBS9,RAD52 protein,420,Oceanodroma tethys
